"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-05-07 02:00:00",30.97,11.5,8.38,6.37
"2022-05-07 03:00:00",35.73,1.27,9.76,7.19
"2022-05-07 04:00:00",35.09,1.4,10.13,7.91
"2022-05-07 05:00:00",30.67,7.43,9.08,6.83
"2022-05-07 06:00:00",19.22,16.2,9.83,7.6
"2022-05-07 07:00:00",30.68,11.97,10.75,8.14
"2022-05-07 08:00:00",36.09,7.83,13.02,9.22
"2022-05-07 09:00:00",33.91,10.37,11.53,5.91
"2022-05-07 10:00:00",36.55,16.79,13.67,5.67
"2022-05-07 11:00:00",35.46,20.36,14.69,6.95
"2022-05-07 12:00:00",37.65,17.41,17.61,8.66
"2022-05-07 13:00:00",42.73,11.82,17.38,10.23
"2022-05-07 14:00:00",29.06,32.44,16.13,10.4
"2022-05-07 15:00:00",42.57,21.33,14.44,10.97
"2022-05-07 16:00:00",35.3,35.04,14.48,9.76
"2022-05-07 17:00:00",28.34,48.09,12.63,7.87
"2022-05-07 18:00:00",29.46,45.27,11.37,7.47
"2022-05-07 19:00:00",39.24,35.22,13.24,7.27
"2022-05-07 20:00:00",44.06,29.61,13.02,7.63
"2022-05-07 21:00:00",43.95,29.58,13.26,7.86
"2022-05-07 22:00:00",63.37,10.16,12.6,8.63
"2022-05-07 23:00:00",43.16,31.35,12.66,7.34
"2022-05-08 00:00:00",46,23.52,15.13,8.52
"2022-05-08 01:00:00",28.97,31.51,11,7.81
"2022-05-08 02:00:00",33.41,25.07,10.83,7.31
"2022-05-08 03:00:00",23.24,33.02,8.55,5.74
"2022-05-08 04:00:00",42.87,12.8,8.65,5.7
"2022-05-08 05:00:00",49.21,-0.66,11.66,7.86
"2022-05-08 06:00:00",39.7,2.02,10.66,7.64
"2022-05-08 07:00:00",29.46,18.83,8.53,5.54
"2022-05-08 08:00:00",21.04,39.76,7.73,5.08
"2022-05-08 09:00:00",22.06,44.22,7.48,5.06
"2022-05-08 10:00:00",24.29,37.25,9.34,5.79
"2022-05-08 11:00:00",24.51,42.81,9.86,6.4
"2022-05-08 12:00:00",19.97,48.24,11.73,7.55
"2022-05-08 13:00:00",22.11,46.54,13.12,8.6
"2022-05-08 14:00:00",32.64,39.65,11.29,5.75
"2022-05-08 15:00:00",25.26,45.31,10.03,4.35
"2022-05-08 16:00:00",30.55,45.58,13.5,6.53
"2022-05-08 17:00:00",35.28,40.34,17.28,8.27
"2022-05-08 18:00:00",29.43,45.62,9.85,4.73
"2022-05-08 19:00:00",21.81,55.22,7.38,4.17
"2022-05-08 20:00:00",20.99,54.49,6.01,3.29
"2022-05-08 21:00:00",13.35,58.98,6.32,3.38
"2022-05-08 22:00:00",16.88,49.15,6.71,3.53
"2022-05-08 23:00:00",19.23,48.93,6.41,3.41
"2022-05-09 00:00:00",29.76,30.25,9.01,5.11
"2022-05-09 01:00:00",20.22,34.09,8.72,5.57
"2022-05-09 02:00:00",14.42,46.91,9.03,5.46
"2022-05-09 03:00:00",5.01,67.46,5.56,2.71
"2022-05-09 04:00:00",3.04,69.7,6.7,4.42
"2022-05-09 05:00:00",6.08,68.92,6.65,4.2
"2022-05-09 06:00:00",22.07,54.15,9.41,5.26
"2022-05-09 07:00:00",46.09,40.42,13.5,6.47
"2022-05-09 08:00:00",43.01,40.64,16.21,7.42
"2022-05-09 09:00:00",34.17,49.86,13.37,6.43
"2022-05-09 10:00:00",51.17,32.12,12.17,5.43
"2022-05-09 11:00:00",43.44,37.06,13.73,5.99
"2022-05-09 12:00:00",41.88,40.77,14.93,6.29
"2022-05-09 13:00:00",34.58,47.71,11.87,5.36
"2022-05-09 14:00:00",38.61,49.73,6.57,3.28
"2022-05-09 15:00:00",26.85,51.24,6.66,2.89
"2022-05-09 16:00:00",18.1,57.43,8.32,2.42
"2022-05-09 17:00:00",25.95,52.05,4.61,1.54
"2022-05-09 18:00:00",21.18,54.91,9.01,2.18
"2022-05-09 19:00:00",18.04,54.25,7.01,2.19
"2022-05-09 20:00:00",17.92,54.11,5.32,2.3
"2022-05-09 21:00:00",16.97,54.35,5.53,2.65
"2022-05-09 22:00:00",19.04,45.03,5.58,2.86
"2022-05-09 23:00:00",21.78,54.96,7.02,3.65
"2022-05-10 00:00:00",24.03,51.37,8.13,4.11
"2022-05-10 00:01:00",,,,
"2022-05-10 01:01:00",,,,
"2022-05-10 02:00:00",8.41,57.63,11.67,5.8
"2022-05-10 03:00:00",8.17,58,11.86,5.89
"2022-05-10 04:00:00",4.99,58.58,11.83,6
"2022-05-10 05:00:00",6.52,57.82,12.95,5.87
"2022-05-10 06:00:00",15.65,50.01,13.24,5.98
"2022-05-10 07:00:00",49.51,41.48,15.41,6.53
"2022-05-10 08:00:00",30.1,35.37,15.04,6.5
"2022-05-10 09:00:00",31.51,33.45,18.56,6.88
"2022-05-10 10:00:00",33.71,33.57,51.98,11.76
"2022-05-10 11:00:00",25.07,43.03,27.7,7.66
"2022-05-10 12:00:00",29.69,46.3,23.19,6.72
"2022-05-10 13:00:00",26.17,47.4,32.47,8.15
"2022-05-10 14:00:00",25.88,50.19,20.58,6.44
"2022-05-10 15:00:00",28.11,46.91,26.91,6.78
"2022-05-10 16:00:00",25.1,51.68,25.82,6.35
